word,pronunciation,meaning,,,,
吖,a1,"啊
",,,,
吖啶,a1 ding6,"
",,,,
鸦雀无声,a1 jeuk8 mou4 sing1,"
",,,,
吖吗,a1 ma5,"吗，吧
",,,,
吖嘛,a1 ma5,"嘛，呀
",,,,
吖嗱,a1 na4,"吧
",,,,
鸦片,a1 pin3,"
",,,,
鸦片战争,a1 pin3 jin3 jang1,"
",,,,
鸦片贸易,a1 pin3 mau6 yik9,"
",,,,
丫头,a1 tau4,"
",,,,
丫鬟,a1 waan4,"
",,,,
哑巴,a2 ba1,"
",,,,
哑铃,a2 ling4,"
",,,,
亚,a3,"阿
",,,,
呀,a3,"啊
",,,,
亚爸,a3 ba4,"爸爸
",,,,
亚伯,a3 baak8,"伯伯，伯父
",,,,
亚跛,a3 bai1,"瘸子，跛子
",,,,
亚保亚胜,a3 bou2 a3 sing3,"张三李四
",,,,
亚叉,a3 cha1,"印度人，印度男人
",,,,
亚灿,a3 chaan3,"从内地来香港的新移民
",,,,
亞大,a3 daai6,"老大
",,,,
阿斗,a3 dau2,"
",,,,
亚斗官,a3 dau2 gun1,"阔少爷，败家子
",,,,
亚斗官,a3 dau2 gun1,"阔少爷，败家子
",,,,
阿飞,a3 fei1,"
",,,,
亚福,a3 fuk7,"傻头傻脑的人
",,,,
亚甲亚乙,a3 gaap8 a3 yut9,"张三李四
",,,,
亚锦赛,a3 gam2 choi3,"
",,,,
亚狗亚猫,a3 gau2 a3 maau1,"张三李四
",,,,
亚哥,a3 go1,"哥，哥哥，大哥
",,,,
亚姑,a3 gu1,"姑姑，姑母
",,,,
亚公,a3 gung1,"外祖父，老大爷
",,,,
亚军,a3 gwan1,"
",,,,
阿訇,a3 gwang1,"
",,,,
亚仔,a3 jai2,"儿子
",,,,
亚吱亚咗,a3 ji1 a3 jo2,"推三阻四，不满，妨碍
",,,,
亚猪亚狗,a3 jyu1 a3 gau2,"张三李四
",,,,
亚妈,a3 ma1,"妈妈，母亲
",,,,
亚嫲,a3 ma4,"祖母，奶奶
",,,,
亚乜人,a3 mat7 yan4,"谁谁，某某
",,,,
亚茂,a3 mau6,"傻子，傻瓜
",,,,
亚茂整饼,a3 mau6 jing2 beng2,"没事找事
",,,,
亚茂整饼，冇嗰样整嗰样,a3 mau6 jing2 beng2 mou5 go2 yeung2 jing2 go2 yeung2,"没事找事，乱搞一气
",,,,
亚妹,a3 mui2,"妹妹
",,,,
亚奶,a3 naai1,"奶奶，祖母
",,,,
亚女,a3 neui2,"女儿
",,,,
亚奀,a3 ngan1,"瘦子，瘦弱的小孩
",,,,
亚婆,a3 po4,"姥姥，外祖母，老婆婆
",,,,
亚生,a3 saang1,"先生
",,,,
亚细,a3 sai2,"小老婆
",,,,
亚婶,a3 sam2,"婶婶，婶母，婶子，婶儿
",,,,
亚四,a3 sei3,"佣人，家佣，家庭佣人
",,,,
亚sir,a3 seu4,"长官，警官，先生，老师，男老师，男上司，警察先生
",,,,
亚谁,a3 seui4,"谁，什么人
",,,,
阿星,a3 sing1,"阿三，印度阿三，印度人
",,,,
亚傻,a3 so4,"傻瓜，傻子
",,,,
亚嫂,a3 sou2,"嫂子，嫂嫂，大嫂
",,,,
亚叔,a3 suk7,"叔叔，叔父，大叔
",,,,
亚头,a3 tau2,"领导，首领，头目，头头儿，领导者
",,,,
亚驼,a3 to2,"驼子，罗锅儿，罗锅子，驼背者
",,,,
亚一,a3 yat7,"老大，头，头儿，大老板
",,,,
亚爷,a3 ye4,"爷爷，祖父
",,,,
亚裔,a3 yeui6,"
",,,,
亚姨,a3 yi1,"姨母，姨姨
",,,,
阿二,a3 yi2,"小三，小老婆
",,,,
呀,a4,"啊
",,,,
衙,a4,"吗
",,,,
account,a6 kaang1,"会计学
",,,,
挨家,aai1 ga1,"
",,,,
挨门,aai1 mun4,"
",,,,
挨户,aai1 wu6,"
",,,,
唉唉声,aai4 aai2 seng1,"唉声叹气
",,,,
呃逆,aak7 yik9,"
",,,,
鸭蛋,aap8 daan6,"
",,,,
鸭蛋圆,aap8 daan6 yun4,"
",,,,
鸭脚,aap8 geuk8,"
",,,,
鸭叫,aap8 giu3,"
",,,,
鸭嘴,aap8 jeui2,"
",,,,
鸭嘴兽,aap8 jeui2 sau3,"
",,,,
鸭掌,aap8 jeung2,"
",,,,
鸭毛,aap8 mou4,"
",,,,
鸭肉,aap8 yuk9,"
",,,,
鸭绒,aap8 yung4,"
",,,,
鸭绒毛,aap8 yung4 mou4,"
",,,,
压迫,aat8 baak7,"
",,,,
压迫感,aat8 baak7 gam2,"
",,,,
压扁,aat8 bin2,"
",,,,
压宝,aat8 bou2,"
",,,,
压低,aat8 dai1,"
",,,,
压底,aat8 dai2,"
",,,,
压倒,aat8 dou2,"
",,,,
压倒性,aat8 dou2 sing3,"
",,,,
压价,aat8 ga3,"
",,,,
押金,aat8 gam1,"
",,,,
压根,aat8 gan1,"
",,,,
压紧,aat8 gan2,"
",,,,
压气,aat8 hei3,"
",,,,
压榨,aat8 ja3,"
",,,,
压榨机,aat8 ja3 gei1,"
",,,,
遏制,aat8 jai3,"
",,,,
压阵,aat8 jan6,"
",,,,
遏止,aat8 ji2,"
",,,,
压轴,aat8 juk9,"
",,,,
押注,aat8 jyu3,"
",,,,
压住,aat8 jyu6,"
",,,,
压垮,aat8 kwa1,"
",,,,
压力,aat8 lik9,"
",,,,
压力表,aat8 lik9 biu2,"
",,,,
压力计,aat8 lik9 gai3,"
",,,,
压力锅,aat8 lik9 wo1,"
",,,,
压路,aat8 lou6,"
",,,,
压路机,aat8 lou6 gei1,"
",,,,
压马路,aat8 ma5 lou6,"
",,,,
揠苗助长,aat8 miu4 jo6 jeung2,"
",,,,
压平,aat8 ping4,"
",,,,
压破,aat8 po3,"
",,,,
压岁,aat8 seui3,"
",,,,
压碎,aat8 seui3,"
",,,,
压岁钱,aat8 seui3 chin4,"
",,,,
压缩,aat8 suk7,"
",,,,
压缩机,aat8 suk7 gei1,"
",,,,
压缩空气,aat8 suk7 hung1 hei3,"
",,,,
压缩力,aat8 suk7 lik9,"
",,,,
押运,aat8 wan6,"
",,,,
压抑,aat8 yik7,"
",,,,
压延,aat8 yin4,"
",,,,
压延机,aat8 yin4 gei1,"
",,,,
猰貐,aat8 yu5,"
",,,,
哎呀,ai1 a1,"
",,,,
IP,ai1 pi1,"督察
",,,,
唉声叹气,ai1 sing1 taan3 hei3,"
",,,,
哎吔,ai1 ya3,"哎呀，哎哟
",,,,
哎哟,ai1 yo1,"
",,,,
龌龊,ak7 chuk7,"
",,,,
握手,ak7 sau2,"
",,,,
握手言和,ak7 sau2 yin4 wo4,"
",,,,
扼腕,ak7 wun2,"
",,,,
鹌鹑,am1 seun4,"
",,,,
鹌鹑蛋,am1 seun4 daan6,"
",,,,
黯然销魂,am2 yin4 siu1 wan4,"
",,,,
暗疮,am3 chong1,"粉刺，青春痘
",,,,
暗礁,am3 jiu1,"
",,,,
暗恋,am3 lyun2,"
",,,,
暗示,am3 si6,"
",,,,
暗喻,am3 yu6,"
",,,,
un,an1,"懂，明白
",,,,
罂粟花,ang1 suk7 fa1,"
",,,,
out,au1,"过时，落伍
",,,,
欧裔,au1 yeui6,"
",,,,
殴打,au2 da2,"
",,,,
呕气,au2 hei3,"
",,,,
呕心沥血,au2 sam1 lik7 hyut8,"
",,,,
呕心沥血之作,au2 sam1 lik7 hyut8 ji1 jok8,"
",,,,
呕吐,au2 tou3,"
",,,,
呕吐物,au2 tou3 mat9,"
",,,,
凹凹凸凸,au3 au3 dat9 dat9,"
",,,,
凹槽,au3 chou4,"
",,,,
凹处,au3 chyu3,"
",,,,
凹凸不平,au3 dat9 bat7 ping4,"
",,,,
凹凸镜,au3 dat9 geng3,"
",,,,
凹地,au3 dei6,"
",,,,
凹洞,au3 dung6,"
",,,,
凹镜,au3 geng3,"
",,,,
凹陷,au3 haam6,"
",,,,
怄气,au3 hei3,"
",,,,
凹透镜,au3 tau3 geng3,"
",,,,
凹形,au3 ying4,"
",,,,
巴,ba1,"巴掌，耳光
",,,,
巴闭,ba1 bai3,"了不起
",,,,
巴结,ba1 git8,"
",,,,
疤痕,ba1 han4,"
",,,,
疤痕组织,ba1 han4 jou2 jik7,"
",,,,
巴揸,ba1 ja1,"多嘴，爱管闲事
",,,,
芭蕉,ba1 jiu1,"
",,,,
巴黎帽,ba1 lai4 mou2,"贝雷帽
",,,,
芭蕾舞,ba1 leui4 mou5,"
",,,,
芭蕾,ba1 leui5,"
",,,,
吧女,ba1 neui5,"酒吧女服务员
",,,,
巴士,ba1 si2,"公车，巴士，公共汽车
",,,,
巴士车长,ba1 si2 che1 jeung2,"公车司机
",,,,
巴士站,ba1 si2 jaam6,"公车站，公共汽车站
",,,,
巴士佬,ba1 si2 lou2,"公车司机
",,,,
巴士司机,ba1 si2 si1 gei1,"公车司机
",,,,
把握,ba2 ak7,"
",,,,
把柄,ba2 beng3,"
",,,,
把持,ba2 chi4,"
",,,,
把火,ba2 fo2,"发火，生气，发怒，动怒
",,,,
把风,ba2 fung1,"
",,,,
